Dr/Cr,group of chart acct,,,Ledger,Ledger Name,Currency,balance only 
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1586,MUR.NPF.- TRANSPORT & COMM,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1611,MUR.NPF.ARR.- AGRICULTURE,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1612,MUR.NPF.ARR.- INDUSTRY,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1613,MUR.NPF.ARR.- DTS,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1614,MUR.NPF.ARR.- IMPORT,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1615,MUR.NPF.ARR.- CONSTRUCATION,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1616,MUR.NPF.ARR.- TRANSPORT & COMM,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1781,INTEREST FREE EXPORT FINANCING,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1831,MURABAHA DEALS BALANCE-To be Deleted,1 ETB,-1817476451
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1832,MURABAHA DEFFERED PROFIT-to be deleted,1 ETB,277377092
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1833,MURABAHA PROFIT RECIVIABLE LEDGER-delete,1 ETB,-399064595.7
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1851,CONTRA ACCOUNT FOR PERSONAL LOAN,1 ETB,15318721.36
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1852,CONTRA ACCOUNT FOR EMERGENCY STAFF LOAN,1 ETB,15177869.81
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1853,CONTRA ACCOUNT FOR MORTGAGE LOAN,1 ETB,62200820.09
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1861,INVEST. IN OROMIA INSURANCE COMPANY S.C,1 ETB,-12500000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1862,INVEST. IN GUTU OROMIA BUSINESS S.C,1 ETB,-3250000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1863,INVEST. IN ELEMTU AGRO INDU. S.C,1 ETB,-10000000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1864,INVEST. IN ELEMO KILTU HOUSE BUILDING,1 ETB,-500000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1865,INVEST. IN ETHIO SWITCH S.C.,1 ETB,-12002000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1866,INVEST. IN TSEHAY INDUSTRY S.C.,1 ETB,-15526000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1867,INVEST. IN TBO-PRINTING & PUBLISHING S.C,1 ETB,-15000000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1868,INVEST. IN SHEGER MICRO- FINANCE,1 ETB,-3200000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1869,INVEST. IN OIB-ODA REAL  ESTATE PLC,1 ETB,-10000000
